Symbol,Name,"% Holding",Shares
FTNT,"Fortinet  Inc.",0.08%,1374730
LYB,LYONDELLBASEL,0.08%,2612067
ANSS,"ANSYS Inc.",0.08%,877559
EFX,"Enerflex Ltd.",0.08%,1236529
WY,"WEYERHAEUSER C",0.08%,7591675
AVB,"AvalonBay Communities Inc.",0.08%,1416555
AJG,"Arthur J. Gallagher & Co.",0.08%,1964198
SWKS,"Skyworks Solutions Inc",0.08%,1674096
KHC,"Kraft Heinz Company",0.08%,6581812
VRSK,"Verisk Analytics Inc",0.08%,1652747
AWK,"American Water Works Company Inc.",0.08%,1842037
ES,"Eversource Energy",0.08%,3482320
KR,"Kroger Co.",0.08%,7729497
BBY,"BEST BUY CO INC",0.08%,2339696
LEN,"Lennar Corp",0.08%,2786980
MXIM,"MAXIM INTEGRATED PRODUCTS",0.08%,2721258
BLL,"Ball Corp",0.08%,3329242
LH,"Laboratory Corp Of Amer",0.08%,990894
KSU,"Kansas City Southern",0.08%,922390
DTE,"DTE ENERGY",0.08%,1967295
CPRT,"Copart Inc.",0.08%,2111265
ZBRA,"ZEBRA TECH",0.07%,542790
ED,"Consolidated Edison Inc.",0.07%,3476595
EQR,"EQ RESIDENT",0.07%,3480729
KEYS,"Keysight Technologies Inc",0.07%,1888994
SYF,"SYNCHRONY FIN",0.07%,5513941
VFC,"VF Corp",0.07%,3260114
WST,"WEST PHARMACEUTICAL SERVICES COMMON STOCK USD.25",0.07%,752296
O,"Realty Income Corp",0.07%,3790826
HSY,"Hershey Co",0.07%,1487852
VIAC,"ViacomCBS Inc",0.07%,5963276
ODFL,"Old Dominion Freight Line Inc",0.07%,973486
NTRS,"NORTHERN TRUST",0.07%,2114885
IP,"International Pa",0.07%,3990870
VMC,"Vulcan Materials Co",0.07%,1345642
FTV,"Fortive Corp",0.07%,3432276
URI,"United Rentals Inc",0.07%,733041
CERN,"Cerner Corp",0.07%,3109630
CCL,"Carnival Corp",0.07%,8099869
EXPE,"EXPEDI GROUP I",0.07%,1388661
CDW,"CDW Corp",0.07%,1431383
DLTR,"DOLLAR TREE IN",0.07%,2387765
HIG,"Hartford Financial Services Group Inc",0.07%,3629635
OKE,"ONEOK Inc",0.07%,4517637
TSN,"Tyson Foods Inc",0.07%,2992162
HES,"Hess Corp",0.07%,2773836
WDC,"WESTERN DGTL C",0.07%,3105946
MLM,"Martin Marietta Materials Inc",0.06%,632319
RSG,"Republic Services Inc",0.06%,2136749
FLT,"FLEETCOR TECHNOL",0.06%,846834
KEY,KeyCorp,0.06%,9835823
CZR,"Caesars Entertainment Corp",0.06%,2114442
RF,"Regions Financial Corp",0.06%,9753174
ARE,"ALEXANDRIA RE",0.06%,1290602
PPL,"Pakistan Petroleum Ltd.",0.06%,7807212
CLX,"Clorox Co",0.06%,1277053
MKC,"MCCORMICK & CO",0.06%,2527524
VRSN,"VeriSign Inc",0.06%,1010387
OXY,"OCCIDENTAL PET",0.06%,8511873
TER,"Teradyne Inc",0.06%,1691964
DOV,"Dover Corp",0.06%,1458407
TTWO,"Take-Two Interactive Software Inc",0.06%,1169333
CFG,"Citizens Financial Group Inc",0.06%,4315893
GRMN,"Garmin Ltd",0.06%,1517021
TSCO,"Tractor Supply Co",0.06%,1180773
XYL,"Xylem Inc.",0.06%,1831037
EXPD,EXPEDITORS,0.06%,1719494
HPE,"Hewlett Packard Ent",0.06%,13159989
EIX,"Edison International",0.06%,3850619
ETR,"Entergy Corp",0.06%,2035377
QRVO,"Qorvo Inc",0.06%,1149873
CHD,"Church & Dwight Co Inc",0.06%,2487911
AEE,"Ameren Corporation",0.06%,2527693
ETSY,"Etsy Inc",0.06%,1264894
RCL,"Royal Caribbean Cruises Ltd",0.06%,2222586
IT,"GARTNER INC",0.06%,900762
VTR,"Ventas Inc",0.06%,3803811
MTB,"M&T Bank Corp",0.06%,1305608
FE,FIRSTENERGY,0.06%,5514878
GNRC,"Generac Holdings Inc",0.06%,638198
GWW,"W W Grainger Inc",0.06%,446523
WAT,"Waters Corp",0.06%,631138
HAL,"Halliburton Co",0.06%,9024581
ALB,"ALBEMARLE CORP",0.06%,1184050
TRMB,"Trimble Inc",0.06%,2547504
